country,id,latitude,longitude,name,population,geometry
USA,1067.0,21.30688,-157.858,Honolulu,786000.0,POINT (-157.858 21.30688)
USA,1068.0,47.57,-122.33998,Seattle,3074000.0,POINT (-122.33998 47.57)
USA,1069.0,33.53998,-112.06999,Phoenix,3551000.0,POINT (-112.06999 33.53998)
USA,1070.0,32.82002,-117.17999,San Diego,2916000.0,POINT (-117.17999 32.82002)
USA,1071.0,38.63502,-90.23998,St. Louis,2199000.0,POINT (-90.23998 38.63502)
USA,1072.0,29.995,-90.03997,New Orleans,785000.0,POINT (-90.03997 29.995)
USA,1073.0,32.82002,-96.84002,Dallas,4798000.0,POINT (-96.84002 32.82002)
USA,1075.0,42.32996,-71.07001,Boston,4467000.0,POINT (-71.07001 42.32996)
USA,1076.0,27.94699,-82.45862,Tampa,2314000.0,POINT (-82.45862 27.94699)
USA,1077.0,39.99997,-75.17,Philadelphia,5492000.0,POINT (-75.17 39.99997)
USA,1078.0,42.32996,-83.08006,Detroit,4101000.0,POINT (-83.08006 42.32996)
USA,1079.0,61.21997,-149.90021,Anchorage,260283.0,POINT (-149.90021 61.21997)
USA,1182.0,37.74001,-122.45998,San Francisco,3450000.0,POINT (-122.45998 37.74001)
USA,1183.0,39.73919,-104.98402,Denver,2313000.0,POINT (-104.98402 39.73919)
USA,1184.0,29.81997,-95.33998,Houston,4459000.0,POINT (-95.33998 29.81997)
USA,1185.0,25.78761,-80.22411,Miami,5585000.0,POINT (-80.22411 25.78761)
USA,1186.0,33.83001,-84.39995,Atlanta,4506000.0,POINT (-84.39995 33.83001)
USA,1187.0,41.82999,-87.75005,Chicago,8990000.0,POINT (-87.75005 41.82999)
USA,1223.0,33.98998,-118.17998,Los Angeles,12500000.0,POINT (-118.17998 33.98998)
USA,1224.0,38.89955,-77.00942,Washington D.C.,4338000.0,POINT (-77.00942 38.89955)
USA,1225.0,40.74998,-73.98002,New York,19040000.0,POINT (-73.98002 40.74998)
