country,id,latitude,longitude,name,population,geometry
GEO,112.0,43.02002,41.02002,Sukhumi,81546.0,POINT (41.02002 43.02002)
FSM,113.0,6.91664,158.14997,Palikir,4645.0,POINT (158.14997 6.91664)
MHL,114.0,7.103,171.38,Majuro,25400.0,POINT (171.38 7.103)
USA,115.0,13.47002,144.75002,Agana,122411.0,POINT (144.75002 13.47002)
TUV,116.0,-8.51665,179.21665,Funafuti,4749.0,POINT (179.21665 -8.51665)
PLW,117.0,7.4874,134.62655,Melekeok,7026.0,POINT (134.62655 7.4874)
SAH,118.0,26.11917,-9.65252,Bir Lehlou,500.0,POINT (-9.65252 26.11917)
MCO,119.0,43.73965,7.40691,Monaco,36371.0,POINT (7.40691 43.73965)
KIR,120.0,1.33819,173.01757,Tarawa,28802.0,POINT (173.01757 1.33819)
COM,121.0,-11.70416,43.24024,Moroni,128698.0,POINT (43.24024 -11.70416)
CHN,122.0,22.203,113.54505,Macau,568700.0,POINT (113.54505 22.203)
AND,123.0,42.5,1.51649,Andorra,53998.0,POINT (1.51649 42.5)
USA,124.0,34.12038,-117.30003,San Bernardino,1745000.0,POINT (-117.30003 34.12038)
USA,125.0,41.17998,-73.19996,Bridgeport,1018000.0,POINT (-73.19996 41.17998)
USA,126.0,43.17043,-77.61995,Rochester,755000.0,POINT (-77.61995 43.17043)
GBR,127.0,53.50042,-2.24799,Manchester,2230000.0,POINT (-2.24799 53.50042)
PAK,128.0,32.16043,74.18502,Gujranwala,1513000.0,POINT (74.18502 32.16043)
KOR,129.0,37.47615,126.64223,Incheon,2550000.0,POINT (126.64223 37.47615)
NGA,130.0,6.34048,5.62001,Benin City,1190000.0,POINT (5.62001 6.34048)
CHN,131.0,24.44999,118.08002,Xiamen,2519000.0,POINT (118.08002 24.44999)
CHN,132.0,30.78043,106.13,Nanchong,2174000.0,POINT (106.13 30.78043)
CHN,133.0,29.58038,105.05001,Neijiang,1466000.0,POINT (105.05001 29.58038)
CHN,134.0,33.0004,112.53002,Nanyang,1944000.0,POINT (112.53002 33.0004)
CHN,135.0,40.75034,120.82998,Jinxi,2426000.0,POINT (120.82998 40.75034)
CHN,136.0,37.53041,121.40002,Yantai,2116000.0,POINT (121.40002 37.53041)
CHN,137.0,34.88,117.57002,Zaozhuang,2145000.0,POINT (117.57002 34.88)
CHN,138.0,31.30048,120.62002,Suzhou,1650000.0,POINT (120.62002 31.30048)
CHN,139.0,34.28001,117.18002,Xuzhou,2091000.0,POINT (117.18002 34.28001)
CHN,140.0,31.58,120.29998,Wuxi,1749000.0,POINT (120.29998 31.58)
CHN,141.0,43.84997,126.55004,Jilin,2396000.0,POINT (126.55004 43.84997)
IND,142.0,30.72,76.78001,Chandigarh,979000.0,POINT (76.78001 30.72)
IND,143.0,32.71179,74.84674,Jammu,791000.0,POINT (74.84674 32.71179)
IND,144.0,17.67041,75.90001,Sholapur,1057000.0,POINT (75.90001 17.67041)
IND,145.0,19.8957,75.3203,Aurangabad,1113000.0,POINT (75.3203 19.8957)
IND,146.0,20.00042,73.77998,Nasik,1473000.0,POINT (73.77998 20.00042)
IND,147.0,26.14402,91.76664,Dispur,16140.0,POINT (91.76664 26.14402)
IND,148.0,31.33492,75.56902,Jullundur,855000.0,POINT (75.56902 31.33492)
IND,149.0,25.455,81.84001,Allahabad,1201000.0,POINT (81.84001 25.455)
IND,150.0,28.84179,78.75678,Moradabad,787000.0,POINT (78.75678 28.84179)
IND,151.0,28.66038,77.40839,Ghaziabad,1341000.0,POINT (77.40839 28.66038)
IND,152.0,27.17042,78.01502,Agra,1592000.0,POINT (78.01502 27.17042)
IND,153.0,27.89221,78.06179,Aligarh,805000.0,POINT (78.06179 27.89221)
IND,154.0,29.00041,77.7,Meerut,1398000.0,POINT (77.7 29.00041)
IND,155.0,23.80039,86.41999,Dhanbad,1246000.0,POINT (86.41999 23.80039)
IND,156.0,26.22999,78.18008,Gwalior,978000.0,POINT (78.18008 26.22999)
IND,157.0,22.31002,73.18002,Vadodara,1756000.0,POINT (73.18002 22.31002)
IND,158.0,22.31002,70.80001,Rajkot,1260000.0,POINT (70.80001 22.31002)
URY,159.0,-33.41002,-56.51005,Durazno,34037.0,POINT (-56.51005 -33.41002)
USA,160.0,48.60113,-93.41085,International Falls,15240.0,POINT (-93.41085 48.60113)
USA,161.0,44.94399,-93.08497,St. Paul,734854.0,POINT (-93.08497 44.94399)
USA,162.0,45.7883,-108.54,Billings,104552.0,POINT (-108.54 45.7883)
USA,163.0,47.50029,-111.29999,Great Falls,66558.0,POINT (-111.29999 47.50029)
USA,164.0,46.87224,-113.99305,Missoula,72856.0,POINT (-113.99305 46.87224)
USA,165.0,48.23249,-101.29582,Minot,39439.0,POINT (-101.29582 48.23249)
USA,166.0,46.87723,-96.78943,Fargo,162842.0,POINT (-96.78943 46.87723)
USA,167.0,19.7,-155.09003,Hilo,52391.0,POINT (-155.09003 19.7)
USA,168.0,47.03804,-122.89943,Olympia,156984.0,POINT (-122.89943 47.03804)
USA,169.0,47.67,-117.41995,Spokane,347705.0,POINT (-117.41995 47.67)
USA,170.0,45.6303,-122.63999,Vancouver,525802.0,POINT (-122.63999 45.6303)
USA,171.0,35.1981,-111.65051,Flagstaff,63993.0,POINT (-111.65051 35.1981)
USA,172.0,32.205,-110.88999,Tucson,823000.0,POINT (-110.88999 32.205)
USA,173.0,34.43499,-119.71999,Santa Barbara,181632.0,POINT (-119.71999 34.43499)
USA,174.0,36.74772,-119.77298,Fresno,616353.0,POINT (-119.77298 36.74772)
USA,175.0,40.80222,-124.1475,Eureka,42398.0,POINT (-124.1475 40.80222)
USA,176.0,38.86296,-104.79199,Colorado Springs,493654.0,POINT (-104.79199 38.86296)
USA,177.0,39.52998,-119.82001,Reno,328585.0,POINT (-119.82001 39.52998)
USA,178.0,40.83251,-115.76199,Elko,19252.0,POINT (-115.76199 40.83251)
USA,179.0,35.10497,-106.64133,Albuquerque,898642.0,POINT (-106.64133 35.10497)
USA,180.0,44.92807,-123.0239,Salem,229010.0,POINT (-123.0239 44.92807)
USA,181.0,42.86662,-106.31249,Casper,60791.0,POINT (-106.31249 42.86662)
USA,182.0,39.05001,-95.66998,Topeka,132091.0,POINT (-95.66998 39.05001)
USA,183.0,39.10709,-94.60409,Kansas City,1469000.0,POINT (-94.60409 39.10709)
USA,184.0,36.12,-95.93002,Tulsa,946962.0,POINT (-95.93002 36.12)
USA,185.0,43.54999,-96.73,Sioux Falls,155724.0,POINT (-96.73 43.54999)
USA,186.0,32.50002,-93.77002,Shreveport,248053.0,POINT (-93.77002 32.50002)
USA,187.0,30.45795,-91.14016,Baton Rouge,422072.0,POINT (-91.14016 30.45795)
USA,188.0,32.73998,-97.34004,Ft. Worth,1440454.0,POINT (-97.34004 32.73998)
USA,189.0,27.74281,-97.40189,Corpus Christi,277454.0,POINT (-97.40189 27.74281)
USA,190.0,30.26695,-97.74278,Austin,1161000.0,POINT (-97.74278 30.26695)
USA,191.0,35.22998,-101.83,Amarillo,181766.0,POINT (-101.83 35.22998)
USA,192.0,31.77998,-106.51,El Paso,753000.0,POINT (-106.51 31.77998)
USA,193.0,27.50614,-99.50722,Laredo,434768.0,POINT (-99.50722 27.50614)
VEN,194.0,8.39999,-71.13001,Merida,345489.0,POINT (-71.13001 8.39999)
USA,195.0,44.4758,-73.21247,Burlington,93807.0,POINT (-73.21247 44.4758)
USA,196.0,32.3616,-86.27919,Montgomery,198325.0,POINT (-86.27919 32.3616)
USA,197.0,30.44999,-84.28003,Tallahassee,221222.0,POINT (-84.28003 30.44999)
USA,198.0,28.50998,-81.38003,Orlando,1350000.0,POINT (-81.38003 28.50998)
USA,199.0,30.33002,-81.66999,Jacksonville,988000.0,POINT (-81.66999 30.33002)
USA,200.0,32.02111,-81.11,Savannah,180187.0,POINT (-81.11 32.02111)
USA,201.0,34.03998,-80.89998,Columbia,398093.0,POINT (-80.89998 34.03998)
USA,202.0,39.74999,-86.17005,Indianapolis,1436000.0,POINT (-86.17005 39.74999)
USA,203.0,34.22552,-77.94502,Wilmington,161560.0,POINT (-77.94502 34.22552)
USA,204.0,35.97001,-83.92003,Knoxville,655400.0,POINT (-83.92003 35.97001)
USA,205.0,37.55002,-77.44999,Richmond,912000.0,POINT (-77.44999 37.55002)
USA,206.0,38.34974,-81.63273,Charleston,123799.0,POINT (-81.63273 38.34974)
USA,207.0,39.29999,-76.61998,Baltimore,2255000.0,POINT (-76.61998 39.29999)
USA,208.0,43.04999,-76.15001,Syracuse,662577.0,POINT (-76.15001 43.04999)
VEN,209.0,5.6639,-67.62361,Puerto Ayacucho,52526.0,POINT (-67.62361 5.6639)
TTO,210.0,10.652,-61.51703,Port-of-Spain,294934.0,POINT (-61.51703 10.652)
USA,211.0,44.31056,-69.77999,Augusta,24042.0,POINT (-69.77999 44.31056)
USA,212.0,46.49526,-84.34528,Sault Ste. Marie,83805.0,POINT (-84.34528 46.49526)
TGO,213.0,7.53004,1.12002,Atakpame,80683.0,POINT (1.12002 7.53004)
TUN,214.0,35.83,10.62503,Sousse,327004.0,POINT (10.62503 35.83)
YEM,215.0,13.60445,44.03942,Taizz,751000.0,POINT (44.03942 13.60445)
USA,216.0,57.0604,-135.32755,Sitka,8931.0,POINT (-135.32755 57.0604)
UKR,217.0,49.83498,24.03,Lvov,803880.0,POINT (24.03 49.83498)
UKR,218.0,46.49002,30.71,Odessa,991000.0,POINT (30.71 46.49002)
UKR,219.0,50.24558,28.66217,Zhytomyr,282192.0,POINT (28.66217 50.24558)
UKR,220.0,48.47997,35.00002,Dnipropetrovsk,1050000.0,POINT (35.00002 48.47997)
UKR,221.0,48.0,37.82998,Donetsk,988000.0,POINT (37.82998 48)
UKR,222.0,49.99998,36.25002,Kharkiv,1461000.0,POINT (36.25002 49.99998)
TKM,223.0,40.02305,52.96968,Turkmenbasy,68292.0,POINT (52.96968 40.02305)
UZB,224.0,39.78001,64.43001,Bukhara,319476.0,POINT (64.43001 39.78001)
UZB,225.0,42.47,59.61501,Nukus,230006.0,POINT (59.61501 42.47)
TKM,226.0,39.11,63.58004,Turkmenabat,234817.0,POINT (63.58004 39.11)
TKM,227.0,37.60002,61.83332,Mary,178708.0,POINT (61.83332 37.60002)
UZB,228.0,40.79,72.33997,Andijon,650000.0,POINT (72.33997 40.79)
VNM,229.0,20.83001,106.68009,Haiphong,1969000.0,POINT (106.68009 20.83001)
VNM,230.0,16.06004,108.24997,Da Nang,1000000.0,POINT (108.24997 16.06004)
ZMB,231.0,-14.44001,28.44998,Kabwe,188979.0,POINT (28.44998 -14.44001)
ZMB,232.0,-12.55,28.25997,Mufulira,153624.0,POINT (28.25997 -12.55)
ZMB,233.0,-12.81003,28.22002,Kitwe,404901.0,POINT (28.22002 -12.81003)
ZMB,234.0,-17.86001,25.86001,Livingstone,165480.0,POINT (25.86001 -17.86001)
ZWE,235.0,-18.0,31.1,Chitungwiza,340360.0,POINT (31.1 -18)
CMR,236.0,4.06041,9.70999,Douala,1906000.0,POINT (9.70999 4.06041)
GBR,237.0,52.47497,-1.92,Birmingham,2285000.0,POINT (-1.92 52.47497)
GBR,238.0,54.60001,-5.96003,Belfast,450406.0,POINT (-5.96003 54.60001)
TUR,239.0,38.43615,27.15179,Izmir,2587000.0,POINT (27.15179 38.43615)
TUR,240.0,40.19999,29.07,Bursa,1492000.0,POINT (29.07 40.19999)
TUR,241.0,41.28,36.34366,Samsun,609339.0,POINT (36.34366 41.28)
TUR,242.0,37.87501,32.47501,Konya,919000.0,POINT (32.47501 37.87501)
TUR,243.0,36.99499,35.32,Adana,1293000.0,POINT (35.32 36.99499)
UGA,244.0,2.78,32.28003,Gulu,146858.0,POINT (32.28003 2.78)
RWA,245.0,-1.95359,30.06053,Kigali,860000.0,POINT (30.06053 -1.95359)
SUR,246.0,3.85001,-54.23329,Cottica,29210.0,POINT (-54.23329 3.85001)
ESP,247.0,37.88,-4.77,Cordoba,321376.0,POINT (-4.77 37.88)
NER,248.0,13.49164,7.0964,Maradi,232555.0,POINT (7.0964 13.49164)
NER,249.0,14.89998,5.25993,Tahoua,115956.0,POINT (5.25993 14.89998)
ROU,250.0,44.20266,28.60997,Constanta,303399.0,POINT (28.60997 44.20266)
SWE,251.0,65.59663,22.15838,Luleå,48638.0,POINT (22.15838 65.59663)
SWE,252.0,62.40005,17.31666,Sundsvall,73389.0,POINT (17.31666 62.40005)
ROU,253.0,47.16835,27.57495,Iasi,325914.0,POINT (27.57495 47.16835)
THA,254.0,9.1501,99.34013,Surat Thani,157627.0,POINT (99.34013 9.1501)
THA,255.0,18.79998,98.98005,Chiang Mai,397211.0,POINT (98.98005 18.79998)
THA,256.0,15.00003,102.10001,Nakhon Ratchasima,334984.0,POINT (102.10001 15.00003)
SWZ,257.0,-26.31665,31.13333,Mbabane,90138.0,POINT (31.13333 -26.31665)
PER,258.0,-5.21003,-80.62997,Piura,396932.0,POINT (-80.62997 -5.21003)
PER,259.0,-16.41999,-71.53001,Arequipa,815000.0,POINT (-71.53001 -16.41999)
PER,260.0,-9.07,-78.57,Chimbote,349846.0,POINT (-78.57 -9.07)
PER,261.0,-8.36891,-74.535,Pucallpa,310750.0,POINT (-74.535 -8.36891)
PER,262.0,-3.75002,-73.25001,Iquitos,458729.0,POINT (-73.25001 -3.75002)
PER,263.0,-12.08,-75.20002,Huancayo,412733.0,POINT (-75.20002 -12.08)
PRY,264.0,-25.5167,-54.61606,Ciudad del Este,320872.0,POINT (-54.61606 -25.5167)
PRT,265.0,37.7483,-25.66658,Ponta Delgada,61526.0,POINT (-25.66658 37.7483)
ESP,266.0,42.22002,-8.72999,Vigo,378952.0,POINT (-8.72999 42.22002)
ESP,267.0,43.24998,-2.92999,Bilbao,875552.0,POINT (-2.92999 43.24998)
SEN,268.0,14.14997,-16.10001,Kaolack,277812.0,POINT (-16.10001 14.14997)
SEN,269.0,16.15001,-13.49999,Kaedi,21656.0,POINT (-13.49999 16.15001)
SDN,270.0,13.45002,22.44002,Geneina,162981.0,POINT (22.44002 13.45002)
SAU,271.0,24.49999,39.58,Medina,1010000.0,POINT (39.58 24.49999)
SAU,272.0,28.38383,36.55497,Tabuk,547957.0,POINT (36.55497 28.38383)
SSD,273.0,4.82998,31.58003,Juba,111975.0,POINT (31.58003 4.82998)
SSD,274.0,9.5369,31.65599,Malakal,160765.0,POINT (31.65599 9.5369)
SDN,275.0,15.61668,32.48002,Omdurman,2395159.0,POINT (32.48002 15.61668)
